ASL | 1013 | American Sign Language | P | C | | A study of American Sign Language, including basic concepts and sign lexicon. Grammatical features, including structure of American Sign Language, will be stressed. Each student will be expected to demonstrate to the instructor basic expressive and receptive ASL skills.
ASL | 1023 | American Sign Language | P ASL 1013 | C | Prerequisite: ASL 1013 or consent of instructor. | Continued study of American Sign Language including sign language colloquialisms used in conversational signing. Expands students’ receptive and expressive ASL skills and provides a summary of information currently available dealing with ASL grammatical structure and its sociolinguistic and pragmatic usage.
I | 4203 | Models of Teaching in the Content Areas of the Secondary School | P EDP 3203 EDU 2103 | C EDP 4203 | Prerequisites: Admission to the Teacher Certification Program, EDP 3203, and EDU 2103. Prior or concurrent enrollment in EDP 4203 is required. Not required for music majors. | Study of curricular, instructional, and management approaches to subject areas taught in the secondary schools. Emphasis on developing instructional and curricular strategies that are effective in teaching content areas. Course will address special population of students, application of instructional media, technology, and classroom management for the content areas. This course may be offered in multiple sections according to subject-matter emphasis. Not offered in the summer. Restricted course; advisor code required for registration. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4646 Student Teaching: Grades 8–12. This course must be completed with a grade of “C-” or better for it to serve as a prerequisite for C&amp;I 4716 Student Teaching: All Level EC–12. Field experience.
I | 4213 | Approaches to Teaching Music | P EDP 3203 EDU 2103 | C | Prerequisites: Admission to the Teacher Certification Program, EDP 3203, and EDU 2103. | Designed to provide preservice music teachers with the necessary knowledge and skills to prepare for successfully planning, implementing, and evaluating music instruction. Field experience required.
I | 4303 | Approaches to Teaching Social Studies Incorporating Language Arts and Fine Arts EC | P ECE 4203 RDG 3823 | C ECE 4143 RDG 4833 ECE 4203 RDG 3823 | Prerequisites: Admission to the Teacher Certification Program, C&amp;I 4353, C&amp;I 4403, ECE 4203, and RDG 3823. Concurrent enrollment in ECE 4143 and RDG 4833 is required. May not be taken concurrently with C&amp;I 4353, C&amp;I 4403, ECE 4203 or RDG 3823. | A study of methods, materials, and processes for teaching social studies incorporating the language arts and fine arts. Topics include the effective implementation of social studies curriculum, instruction, assessment and evaluation from EC–grade 6. Special emphasis is placed on integrating the various social sciences through thematic teaching. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4616 Student Teaching: Early Childhood–Grade 6. Restricted course; advisor code required for registration. Field experience required.
I | 4353 | Approaches to Teaching Science EC | P ECE 3143 ECE 3313 ECE 3603 | C ECE 4203 RDG 3823 | Prerequisites: Admission to the Teacher Certification Program, ECE 3143, ECE 3313, and ECE 3603. Concurrent enrollment in C&amp;I 4403, ECE 4203 and RDG 3823 is required. | A study of pedagogical approaches, materials, and resources designed to support children’s meaningful exploration, discovery, and construction of basic concepts and skills in EC–Grade 6. Emphasis in the course will be on the interrelatedness of science in the daily lives of students, unifying concepts and processes common to all sciences, development of effective learning environments for science both inside and outside of the classroom, planning and implementation of inquiry-based science lessons, assessment of student learning, and the use of an integrated approach to teaching. This course must be completed with a grade of &quot;B-&quot; or better for students to enroll in Block C courses. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4616 Student Teaching: Early Childhood–Grade 6. Restricted course; advisor code required for registration. Field experience required. (Same as BBL 4353. Credit cannot be earned for both C&amp;I 4353 and BBL 4353.).
I | 4403 | Approaches to Teaching Mathematics EC | P ECE 3143 ECE 3313 ECE 3603 | C ECE 4203 RDG 3823 | Prerequisites: Admission to the Teacher Certification Program, ECE 3143, ECE 3313, and ECE 3603. Concurrent enrollment in C&amp;I 4353, ECE 4203 and RDG 3823 is required. | This course involves the study of instructional methods and materials that support diverse children’s meaningful exploration, discovery, and development of basic concepts and skills in mathematics from EC–Grade 6. Emphasizing a constructivist approach to the teaching and learning of mathematics, this course also advances the use of technology to facilitate mathematics understanding. Attention will be given to understanding the interrelatedness of mathematics and other content areas, creating effective learning environments, planning and implementing lesson plans to meet the differentiated needs of a wide variety of learners, and assessing student learning in mathematics. This course must be completed with a grade of “B-” or better for students to enroll in Block C courses. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4616 Student Teaching: Early Childhood–Grade 6. Restricted course; advisor code required for registration. Field experience required. (Same as BBL 4403. Credit cannot be earned for both C&amp;I 4403 and BBL 4403.).
I | 4433 | Approaches to Teaching Science | P | C RDG 3533 | Prerequisites: Must be admitted to the Teacher Certification Program. Concurrent enrollment in C&amp;I 4443, C&amp;I 4603, C&amp;I 4623, and RDG 3533 in semester prior to student teaching. | Study of curricula, instructional, and management approaches to teaching science grades 4–8. This course emphasizes a constructivist approach in developing inductive and inquiry teaching methods. Special emphasis is placed on the integration of technology in diverse learning environments. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4626 Student Teaching: Grades 4–8. (Formerly C&amp;I 4413. Credit cannot be earned for more than one of the following: BBL 4433, C&amp;I 4413, or C&amp;I 4433.).
I | 4443 | Approaches to Teaching Mathematics | P | C RDG 3533 | Prerequisites: Must be admitted to the Teacher Certification Program. Concurrent enrollment in C&amp;I 4433, C&amp;I 4603, C&amp;I 4623 and RDG 3533 in semester prior to student teaching. | Study of curricula, instructional, and management approaches to teaching mathematics grades 4–8. This course emphasizes a constructivist approach to the teaching of mathematics, including the use of technology in diverse learning environments. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4626 Student Teaching: Grades 4–8. (Formerly C&amp;I 4423. Credit cannot be earned for more than one of the following: BBL 4443, C&amp;I 4423, or C&amp;I 4443.).
I | 4543 | Approaches to Teaching Social Studies | P | C RDG 3533 | Prerequisites: Must be admitted to the Teacher Certification Program. Concurrent enrollment in C&amp;I 4553, C&amp;I 4603, C&amp;I 4623, and RDG 3533 in semester prior to student teaching. | This course emphasizes student-centered curricula that meet the needs of diverse students in grades 4–8. Preservice teachers examine models of teaching and learning to develop the knowledge, values, and experiential bases necessary for effective teaching. Students will demonstrate proficiency by creating lesson plans that specifically address the 4th–8th grade Social Studies standards as well as integrate other content, incorporate technology, and address diversity. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4626 Student Teaching: Grades 4–8. (Formerly C&amp;I 4513. Credit cannot be earned for both C&amp;I 4543 and C&amp;I 4513.).
I | 4553 | Approaches to Service-Learning in Social Studies | P | C RDG 3533 | Prerequisites: Must be admitted to the Teacher Certification Program. Concurrent enrollment in C&amp;I 4443, C&amp;I 4543, C&amp;I 4603, C&amp;I 4623,  and RDG 3533 in semester prior to student teaching.  | This course examines the philosophy, methodology, and components of service-learning. Service-learning is the engagement of students in activities designed to address or meet a community need, where students learn how their service makes a difference to themselves and in the lives of the service recipients, and where learning is intentionally linked to academics. Students will design a service-learning project having social studies as the focus. This course must be completed with a grade of “B-” or better for it to serve as a prerequisite for C&amp;I 4626 Student Teaching: Grades 4–8. (Formerly C&amp;I 4523. Credit cannot be earned for both C&amp;I 4553 and C&amp;I 4523.).
I | 4603 | Mathematics and Science Approaches and Classroom Management Strategies | P | C RDG 3533 RDG 3533 | Prerequisites: Must be admitted to the Teacher Certification Program. Concurrent enrollment in C&amp;I 4433, C&amp;I 4443,  C&amp;I 4623, and RDG 3533 in semester prior to student teaching for Grades 4–8 Mathematics/Science Certification Option; Concurrent enrollment in C&amp;I 4543, C&amp;I 4553, C&amp;I 4623, and RDG 3533 for Grades 4–8 Language Arts/Reading/Social Studies Certification Option Concurrent enrollment in C&amp;I 4433, C&amp;I 4443, C&amp;I 4543, C&amp;I 4623 for Grades 4–8 Generalist Certification Option. | Preservice teachers will design developmentally appropriate mathematics and science curriculum, instruction, and assessment. Preservice teachers will also identify effective classroom management strategies. This course must be completed with a grade of “C-” or better for it to serve as a prerequisite for C&amp;I 4626 Student Teaching: Grades 4–8. (Credit cannot be earned for both C&amp;I 4603 and BBL 4603.).
